iter	Passed	Remaining
0	168	168731
1	188	94107
2	207	69001
3	227	56646
4	244	48589
5	259	43052
6	274	38893
7	289	35837
8	304	33554
9	320	31740
10	337	30333
11	354	29164
12	369	28053
13	385	27140
14	401	26362
15	417	25668
16	433	25052
17	449	24523
18	465	24037
19	481	23596
20	498	23245
21	513	22829
22	528	22467
23	544	22143
24	560	21840
25	574	21540
26	590	21292
27	608	21128
28	624	20901
29	640	20710
30	655	20480
31	670	20290
32	685	20084
33	699	19884
34	715	19730
35	730	19555
36	745	19392
37	760	19257
38	776	19130
39	793	19047
40	809	18928
41	826	18851
42	842	18751
43	857	18636
44	875	18586
45	894	18555
46	913	18520
47	932	18486
48	949	18426
49	968	18400
50	986	18360
51	1004	18320
52	1022	18264
53	1040	18224
54	1057	18163
55	1072	18075
56	1089	18024
57	1105	17954
58	1121	17893
59	1137	17818
60	1152	17735
61	1167	17664
62	1182	17586
63	1196	17502
64	1214	17466
65	1233	17460
66	1252	17434
67	1271	17427
68	1289	17397
69	1306	17362
70	1326	17351
71	1346	17358
72	1365	17336
73	1383	17313
74	1402	17299
75	1421	17284
76	1442	17289
77	1462	17292
78	1480	17260
79	1498	17229
80	1515	17196
81	1532	17158
82	1549	17114
83	1565	17076
84	1582	17038
85	1599	16997
86	1615	16955
87	1632	16919
88	1650	16895
89	1668	16865
90	1684	16829
91	1701	16793
92	1719	16766
93	1734	16718
94	1754	16711
95	1774	16706
96	1792	16683
97	1810	16663
98	1829	16647
99	1846	16621
100	1864	16597
101	1882	16571
102	1900	16549
103	1915	16502
104	1933	16476
105	1950	16451
106	1967	16423
107	1982	16372
108	1999	16343
109	2016	16318
110	2037	16317
111	2056	16301
112	2073	16276
113	2088	16231
114	2103	16190
115	2120	16162
116	2136	16126
117	2154	16104
118	2171	16074
119	2188	16050
120	2203	16007
121	2218	15968
122	2234	15929
123	2250	15900
124	2267	15869
125	2283	15840
126	2298	15801
127	2315	15774
128	2331	15744
129	2351	15736
130	2370	15724
131	2387	15696
132	2402	15660
133	2417	15625
134	2432	15586
135	2447	15550
136	2464	15523
137	2480	15494
138	2497	15467
139	2513	15439
140	2530	15416
141	2546	15384
142	2564	15366
143	2582	15353
144	2607	15377
145	2622	15341
146	2643	15337
147	2663	15335
148	2680	15308
149	2700	15300
150	2720	15295
151	2741	15295
152	2762	15295
153	2787	15314
154	2809	15318
155	2831	15320
156	2857	15345
157	2878	15340
158	2902	15353
159	2922	15344
160	2945	15346
161	2965	15340
162	2988	15343
163	3008	15338
164	3032	15344
165	3053	15339
166	3071	15318
167	3092	15316
168	3115	15321
169	3137	15316
170	3158	15310
171	3179	15304
172	3201	15303
173	3224	15305
174	3247	15309
175	3273	15324
176	3298	15334
177	3330	15380
178	3370	15457
179	3394	15463
180	3418	15468
181	3438	15453
182	3460	15451
183	3484	15454
184	3506	15448
185	3525	15426
186	3548	15425
187	3571	15423
188	3594	15423
189	3618	15424
190	3642	15426
191	3668	15440
192	3695	15451
193	3719	15451
194	3747	15471
195	3782	15516
196	3814	15547
197	3830	15516
198	3848	15491
199	3873	15492
200	3889	15462
201	3910	15449
202	3930	15430
203	3951	15418
204	3970	15396
205	3990	15378
206	4006	15349
207	4070	15498
208	4121	15599
209	4141	15579
210	4171	15599
211	4216	15672
212	4268	15771
213	4301	15799
214	4325	15794
215	4347	15779
216	4370	15769
217	4391	15753
218	4414	15741
219	4442	15750
220	4468	15750
221	4495	15754
222	4524	15766
223	4549	15760
224	4570	15741
225	4593	15731
226	4611	15704
227	4639	15707
228	4657	15682
229	4675	15652
230	4693	15623
231	4710	15594
232	4729	15568
233	4746	15538
234	4764	15509
235	4782	15480
236	4800	15455
237	4818	15427
238	4834	15394
239	4854	15372
240	4871	15343
241	4890	15316
242	4907	15288
243	4925	15259
244	4942	15232
